email,username,password,password_confirmation,provider,uid,activated
pusheen@pusheen.com,kittybloggens,miauwmiauw,miauwmiauw,github,121212,true
stormy@pusheen.com,stormy,tinetine,tinetine,github,232323,true
one@cylon.org,one,cylon1,cylon1,github,343434,true
two@cylon.org,two,cylon2,cylon2,github,454545,true
three@cylon.org,three,cylon3,cylon3,github,565656,true
four@cylon.org,four,cylon4,cylon4,github,676767,true
five@cylon.org,five,cylon5,cylon5,github,787878,true
six@cylon.org,six,<3gaius,<3gaius,github,898989,true
seven@cylon.org,seven,cylon7,cylon7,github,909090,true
eight@cylon.org,eight,cylon8,cylon8,github,010101,true
kthrace@bsg.gov,starbuck,cylon?,cylon?,,,true
adama@bsg.gov,husker,<3earth,<3earth,,,true
lroslin@bsg.gov,roslin,pres4eva,pres4eva,,,true
gbaltar@bsg.gov,gaius,iamawesome,iamawesome,,,true
tigh@bsg.gov,tigh,lost_eye,lost_eye,,,true
svalerii@bsg.gov,boomer,doppelganger,doppelganger,,,true
kagathon@bsg.gov,helo,confu$ed,confu$ed,,,true
gtyrol@bsg.gov,chief,muusick,muusick,,,true
